Transaction Date,Post Date,Description,Category,Type,Amount
2/4/2022,2/4/2022,CHEWY.COM,Shopping,Sale,-57.87
2/2/2022,2/3/2022,USPS PO 2400650176,Shopping,Sale,-0.73
1/31/2022,2/1/2022,COURSRA1V47MMSIYHWO5R,Education,Sale,-299
1/31/2022,2/1/2022,SQ *DADDY'S FRIED DOUGH,Food & Drink,Sale,-11.25
1/31/2022,2/1/2022,SICHUAN TASTE,Food & Drink,Sale,-83.25
1/28/2022,1/30/2022,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
1/28/2022,1/30/2022,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
1/29/2022,1/30/2022,UNCOMMONGOODS,Shopping,Sale,-138.13
1/30/2022,1/30/2022,BRADFORD SKI AREA E- COM,Entertainment,Sale,-300
1/28/2022,1/28/2022,Payment Thank You-Mobile,,Payment,1502.21
1/26/2022,1/27/2022,TST* SWISSBAKERS - READIN,Food & Drink,Sale,-12.5
1/22/2022,1/23/2022,COSTCO WHSE #0308,Shopping,Sale,-284.98
1/22/2022,1/23/2022,COSTCO WHSE #0308,Shopping,Sale,-5.86
1/19/2022,1/21/2022,BLAZE PIZZA #1230,Food & Drink,Sale,-29.21
1/20/2022,1/20/2022,AMZN Mktp US*KM37J9XN3,Shopping,Sale,-10.61
1/18/2022,1/19/2022,9640 AMC ONLINE,Entertainment,Sale,-23.95
1/18/2022,1/19/2022,9640 AMC ONLINE,Entertainment,Sale,-23.95
1/16/2022,1/18/2022,SICHUAN TASTE,Food & Drink,Sale,-68.27
1/15/2022,1/17/2022,BLAZE PIZZA - 1230 - BURL,Food & Drink,Sale,-30.28
1/15/2022,1/16/2022,JOHNSTON &amp; MURPHY #1603,Shopping,Sale,-21.24
1/15/2022,1/16/2022,YCC STORE 00121,Shopping,Sale,-82.34
1/15/2022,1/16/2022,FIV*GONGCHA BURLINGTON,Food & Drink,Sale,-13.91
1/15/2022,1/16/2022,CVS/PHARMACY #00714,Health & Wellness,Sale,-6
1/15/2022,1/16/2022,Amazon.com*QP53D9GN3,Shopping,Sale,-9.51
1/15/2022,1/16/2022,AMZN Mktp US*Q96PX1XV3,Shopping,Sale,-26.02
1/14/2022,1/14/2022,Payment Thank You-Mobile,,Payment,1006.33
1/12/2022,1/13/2022,CHEWY.COM,Shopping,Sale,-74.99
1/13/2022,1/13/2022,AMZN Mktp US*OH3SO2T43,Shopping,Sale,-47.22
1/13/2022,1/13/2022,Amazon.com*UE0ID0ZS3,Shopping,Sale,-6.31
1/10/2022,1/12/2022,TOUS LES JOURS,Food & Drink,Sale,-8.03
1/10/2022,1/11/2022,CVS/PHARMACY #05382,Health & Wellness,Sale,-23.22
1/8/2022,1/10/2022,CUMBERLAND FARMS 6757,Gas,Sale,-65.05
1/8/2022,1/9/2022,COSTCO WHSE #0301,Shopping,Sale,-4.79
1/8/2022,1/9/2022,99 ASIAN SUPERMARKET,Groceries,Sale,-84.44
1/8/2022,1/9/2022,COSTCO WHSE #0301,Shopping,Sale,-310.27
1/5/2022,1/6/2022,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-23.22
1/4/2022,1/5/2022,Amazon.com*3Y4KE43Q3,Shopping,Sale,-33.04
1/4/2022,1/5/2022,Amazon.com*HX3X826K3,Shopping,Sale,-13.41
1/3/2022,1/5/2022,BLAZE PIZZA #1230,Food & Drink,Sale,-29.21
1/2/2022,1/3/2022,CVS/PHARMACY #02500,Health & Wellness,Sale,-25
12/31/2021,1/2/2022,Payment Thank You-Mobile,,Payment,1800
12/26/2021,12/28/2021,SHELL OIL 57545566903,Gas,Sale,-62.51
12/26/2021,12/28/2021,GERMAN DONER KEBAB,Food & Drink,Sale,-11.72
12/27/2021,12/28/2021,SQ *THE COFFEE POTTER,Food & Drink,Sale,-11.94
12/26/2021,12/27/2021,AD PARKING,Shopping,Sale,-3
12/26/2021,12/27/2021,MITSUWA-GONBEI NJ,Groceries,Sale,-16.21
12/19/2021,12/21/2021,STARBUCKS STORE 47021,Food & Drink,Sale,-13.04
12/19/2021,12/21/2021,TSAOCAA TEA,Food & Drink,Sale,-11.72
12/20/2021,12/21/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
12/18/2021,12/20/2021,FIV*GONG CHA,Food & Drink,Sale,-11.77
12/19/2021,12/20/2021,POPEYES 11230,Food & Drink,Sale,-27.57
12/17/2021,12/19/2021,BULGER VETERINARY HOSPITA,Personal,Sale,-182.07
12/17/2021,12/19/2021,WALGREENS #2577,Health & Wellness,Sale,-11.28
12/18/2021,12/19/2021,PETSMART # 1962,Shopping,Return,6.32
12/18/2021,12/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
12/18/2021,12/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
12/17/2021,12/19/2021,Subway 62704,Food & Drink,Sale,-17.32
12/16/2021,12/17/2021,POPEYES 11230,Food & Drink,Sale,-15.16
12/15/2021,12/15/2021,Payment Thank You-Mobile,,Payment,1108.43
12/13/2021,12/14/2021,CVS/PHARMACY #02500,Health & Wellness,Sale,-2.98
12/13/2021,12/14/2021,CVS/PHARMACY #02500,Health & Wellness,Sale,-11
12/13/2021,12/14/2021,PETSMART # 1962,Shopping,Sale,-19.2
12/13/2021,12/14/2021,BULGER VETERINARY HOSPITA,Personal,Sale,-166.41
12/13/2021,12/14/2021,CRUMBL,Groceries,Sale,-23.54
12/12/2021,12/13/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
12/11/2021,12/12/2021,SPEEDWAY 02513,Gas,Sale,-62.26
12/11/2021,12/12/2021,PARKWHIZ  INC.,Travel,Sale,-5
12/11/2021,12/12/2021,SQ *THE HAPPY CACTUS GIFT,Shopping,Sale,-18.19
12/11/2021,12/12/2021,USA*CSC TEP CO,Shopping,Sale,-2
12/11/2021,12/12/2021,USA*CSC TEP CO,Shopping,Sale,-2
12/11/2021,12/12/2021,TST* YOKI MEDFORD,Food & Drink,Sale,-36.46
12/9/2021,12/10/2021,SEPHORA.COM,Shopping,Sale,-21.89
12/8/2021,12/9/2021,VFC*SMARTWOOL,Shopping,Sale,-184.2
12/7/2021,12/8/2021,UNCOMMONGOODS,Shopping,Sale,-32.58
12/6/2021,12/8/2021,TSAOCAA TEA,Food & Drink,Sale,-10.95
12/7/2021,12/8/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-60.65
12/7/2021,12/8/2021,CRUMBL,Groceries,Sale,-23.54
12/7/2021,12/7/2021,Payment Thank You-Mobile,,Payment,1400
12/6/2021,12/7/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
12/5/2021,12/6/2021,DicksSportingGoods.com,Shopping,Sale,-39.99
12/4/2021,12/5/2021,POPEYES 11230,Food & Drink,Sale,-26.18
12/4/2021,12/5/2021,COSTCO WHSE #0333,Shopping,Sale,-203
12/3/2021,12/3/2021,YAMIBUY,Shopping,Sale,-62.04
12/1/2021,12/2/2021,HLLFRSH*2646923919,Groceries,Sale,-87.65
12/1/2021,12/2/2021,91367 - ARTISAN WEST GARA,Travel,Sale,-2
12/1/2021,12/2/2021,COSTCO WHSE #0333,Shopping,Sale,-427.75
11/30/2021,12/1/2021,SQ *TOTTO RAMEN SOMERVILL,Food & Drink,Sale,-53.28
11/30/2021,12/1/2021,TRADER JOE'S #560 QPS,Groceries,Sale,-8.48
11/30/2021,11/30/2021,Payment Thank You-Mobile,,Payment,1000
11/29/2021,11/30/2021,MCDONALD'S F2392,Food & Drink,Sale,-15.16
11/27/2021,11/29/2021,OLDWICK MARKET,Food & Drink,Sale,-51.4
11/28/2021,11/28/2021,FRESH INTERNET,Shopping,Sale,-227.11
11/26/2021,11/28/2021,COSMETIC DERMATOLOGY I,Shopping,Sale,-41.08
11/26/2021,11/26/2021,Payment Thank You-Mobile,,Payment,1000
11/25/2021,11/26/2021,SP * ROSE INC.,Entertainment,Sale,-23.8
11/25/2021,11/26/2021,UNCOMMONGOODS,Shopping,Sale,-95.52
11/25/2021,11/26/2021,SP * ROSE INC.,Entertainment,Sale,-13.18
11/25/2021,11/25/2021,Offer:PetSmart,Fees & Adjustments,Adjustment,0.84
11/23/2021,11/25/2021,SEASONS 52 0074532,Food & Drink,Sale,-88
11/23/2021,11/25/2021,EXXONMOBIL    47964051,Gas,Sale,-62.35
11/22/2021,11/23/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
11/21/2021,11/23/2021,KUNG FU TEA - PALISADE,Food & Drink,Sale,-14.2
11/20/2021,11/21/2021,TST* MYSTIC STATION,Food & Drink,Sale,-67.78
11/20/2021,11/21/2021,DICK'S SPORTING GOODS,Shopping,Sale,-311.49
11/20/2021,11/21/2021,CRUMBL,Groceries,Sale,-37.52
11/20/2021,11/21/2021,PETSMART # 1962,Shopping,Sale,-8.36
11/18/2021,11/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
11/18/2021,11/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
11/17/2021,11/18/2021,SP * MISEN,Groceries,Sale,-486.1
11/17/2021,11/17/2021,Payment Thank You-Mobile,,Payment,1000
11/17/2021,11/17/2021,CHEWY.COM,Shopping,Sale,-63.13
11/16/2021,11/17/2021,WAL-MART #3114,Groceries,Sale,-35.94
11/15/2021,11/16/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-9.42
11/15/2021,11/15/2021,Offer:PetSmart,Fees & Adjustments,Adjustment,2.59
11/13/2021,11/15/2021,YAMATO BOSTON,Food & Drink,Sale,-85
11/13/2021,11/15/2021,RIMOWA - BOSTON,Shopping,Sale,-1551.25
11/13/2021,11/14/2021,PARKWHIZ  INC.,Travel,Sale,-12.49
11/13/2021,11/14/2021,KOHLS #0729,Shopping,Sale,-28.6
11/13/2021,11/14/2021,LULULEMON NEWBURY,Shopping,Sale,-292
11/13/2021,11/14/2021,PEET'S #31005,Food & Drink,Sale,-5.03
11/11/2021,11/14/2021,LAHEY CLINIC GARAGE,Travel,Sale,-7
11/13/2021,11/14/2021,CVS/PHARMACY #01217,Health & Wellness,Sale,-33.78
11/11/2021,11/12/2021,COSTCO WHSE #0301,Shopping,Sale,-99.64
11/11/2021,11/12/2021,SPEEDWAY 02481,Gas,Sale,-56.74
11/11/2021,11/12/2021,COSTCO WHSE #0301,Shopping,Sale,-1.59
11/9/2021,11/11/2021,KOWLOON RESTAURANT,Food & Drink,Sale,-60
11/9/2021,11/10/2021,PETSMART # 1962,Shopping,Sale,-25.86
11/9/2021,11/10/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-21.2
11/9/2021,11/10/2021,CVS/PHARMACY #02500,Health & Wellness,Sale,-34.82
11/8/2021,11/9/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
11/8/2021,11/9/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
11/8/2021,11/9/2021,SL.NORD* VPNCOM,Shopping,Return,83.94
11/6/2021,11/8/2021,NIJIYA JAPANESE RESTAURAN,Food & Drink,Sale,-53
11/7/2021,11/8/2021,Payment Thank You-Mobile,,Payment,1000
11/7/2021,11/8/2021,IKEA.COM 399049749,Home,Sale,-155.95
11/6/2021,11/8/2021,WENDYS #2655,Food & Drink,Sale,-12.16
11/7/2021,11/8/2021,IKEA STOUGHTON REST,Food & Drink,Sale,-7.48
11/7/2021,11/8/2021,IKEA STOUGHTON REST,Food & Drink,Sale,-20.72
11/7/2021,11/8/2021,IKEA STOUGHTON,Home,Sale,-62.4
11/6/2021,11/8/2021,RPS MEDFORD CITY OF MEDFO,Travel,Sale,-1.25
11/6/2021,11/7/2021,EXPRESS#1748,Shopping,Sale,-144.41
11/5/2021,11/7/2021,WILLIAMS-SONOMA.COM,Home,Sale,-191.2
11/6/2021,11/7/2021,EXPRESS#1748,Shopping,Sale,-247.51
11/6/2021,11/7/2021,CVS/PHARMACY #11400,Health & Wellness,Sale,-40.02
11/6/2021,11/7/2021,TRADER JOE'S #560 QPS,Groceries,Sale,-12.6
11/6/2021,11/7/2021,TJMAXX #713,Shopping,Sale,-43.53
11/4/2021,11/5/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,100.98
11/4/2021,11/5/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,45.53
11/4/2021,11/5/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,94.69
11/4/2021,11/5/2021,SL.NORD* VPNCOM,Shopping,Sale,-83.94
11/4/2021,11/5/2021,Payment Thank You-Mobile,,Payment,435.41
11/3/2021,11/4/2021,MANSCAPED,Shopping,Sale,-104.09
11/2/2021,11/4/2021,WENDY'S #933,Food & Drink,Sale,-9.5
10/31/2021,11/2/2021,ABINGTON ALE HOUSE,Food & Drink,Sale,-100
10/31/2021,11/2/2021,EXXONMOBIL    97504724,Gas,Sale,-46.87
10/31/2021,11/2/2021,EXXONMOBIL    97504724,Gas,Sale,-1.99
11/1/2021,11/2/2021,DUNKIN #340032 Q35,Food & Drink,Sale,-3.83
11/1/2021,11/2/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-39.55
11/1/2021,11/2/2021,COSTCO WHSE #0301,Shopping,Sale,-333.64
10/31/2021,11/1/2021,MAMIE CLAFOUTIS 2010,Food & Drink,Sale,-23.46
10/30/2021,10/31/2021,CAFE OLIMPICO,Food & Drink,Sale,-12.62
10/30/2021,10/31/2021,COOP EMPREINTE,Shopping,Sale,-245.32
10/29/2021,10/31/2021,STM PREFONTAINE DIN101,Travel,Sale,-2.84
10/30/2021,10/31/2021,NOEL ETERNEL INC,Shopping,Sale,-12.12
10/30/2021,10/31/2021,CAFE OLIMPICO,Food & Drink,Sale,-9.82
10/28/2021,10/29/2021,STM PREFONTAINE DIN101,Travel,Sale,-33.33
10/28/2021,10/29/2021,PATISSERIE AU KOUIGN AMAN,Food & Drink,Sale,-11.78
10/26/2021,10/28/2021,RESTAURANT VIN PAPILLON I,Food & Drink,Sale,-519.57
10/26/2021,10/28/2021,LE TOIT ROUGE RESTO-BAR,Food & Drink,Sale,-33.39
10/24/2021,10/28/2021,SUSHI SUGOI,Food & Drink,Sale,-40.25
10/25/2021,10/27/2021,AGENCE DE MOBILIT  DURABL,Travel,Sale,-8.45
10/25/2021,10/27/2021,LE TOIT ROUGE RESTO-BAR,Food & Drink,Sale,-31.01
10/26/2021,10/27/2021,CHATIME CHINA TOWN,Food & Drink,Sale,-18.8
10/25/2021,10/27/2021,QUEUES DE CASTOR / BEAVER,Food & Drink,Sale,-12.59
10/26/2021,10/26/2021,TimeOut - MON-MARU,Food & Drink,Sale,-30
10/24/2021,10/25/2021,V DE MTL BIODOME BILLETS,Bills & Utilities,Sale,-96.6
10/23/2021,10/25/2021,AGENCE DE MOBILIT  DURABL,Travel,Sale,-4.06
10/23/2021,10/24/2021,RESTAURANT CHILLAX,Food & Drink,Sale,-23.13
10/22/2021,10/24/2021,COMMON MAN NO. IRVING,Gas,Sale,-9.02
10/22/2021,10/24/2021,WAL-MART #3114,Groceries,Sale,-52.59
10/23/2021,10/24/2021,STM BERRI UQAM DIN102,Travel,Sale,-11.77
10/22/2021,10/24/2021,WAL-MART #3114,Groceries,Sale,-12.52
10/22/2021,10/24/2021,MCDONALD'S F2392,Food & Drink,Sale,-10.7
10/23/2021,10/24/2021,STM BERRI UQAM DIN102,Travel,Sale,-11.77
10/23/2021,10/24/2021,RESTAURANT L'AVENUE,Food & Drink,Sale,-73.1
10/22/2021,10/24/2021,DOORDASH*FUKU,Food & Drink,Sale,-31
10/23/2021,10/24/2021,JUGO JUICE,Food & Drink,Sale,-10.5
10/23/2021,10/24/2021,AIRBNB  HMYMJPXEXW,Travel,Return,45.53
10/23/2021,10/24/2021,AIRBNB  HMYMJPXEXW,Travel,Sale,-45.53
10/22/2021,10/24/2021,CHEWY.COM,Shopping,Return,6.36
10/23/2021,10/24/2021,LOccitane,Shopping,Sale,-22.88
10/20/2021,10/22/2021,STARBUCKS STORE 18666,Food & Drink,Sale,-10.17
10/20/2021,10/21/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-6.62
10/20/2021,10/21/2021,SQ *TOTTO RAMEN SOMERVILL,Food & Drink,Sale,-78.28
10/20/2021,10/21/2021,PETSMART # 1962,Shopping,Sale,-48.84
10/18/2021,10/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
10/17/2021,10/19/2021,APPLEBEES SAUG31231574,Food & Drink,Sale,-35
10/18/2021,10/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
10/17/2021,10/18/2021,Payment Thank You-Mobile,,Payment,5887.75
10/15/2021,10/17/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
10/16/2021,10/17/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-6.3
10/15/2021,10/17/2021,HARVARD BKSTR 90200015,Shopping,Sale,-18.16
10/15/2021,10/17/2021,KOHLS #0729,Shopping,Sale,-92.15
10/15/2021,10/17/2021,SQ *HOKKAIDO RAMEN SANTOU,Food & Drink,Sale,-55.88
10/14/2021,10/15/2021,SQ *POKE BY LOVE ART NORT,Food & Drink,Sale,-35.84
10/13/2021,10/14/2021,DELTA AUTO INC,Gas,Sale,-32.14
10/13/2021,10/14/2021,HC AUDI BURLINGTON,Automotive,Sale,-4589.3
